CDVEH;CF;MES;CAMION;CDA;CANAL
B7Y848;602;1;1;Ventanilla;Tradicional
F4E746;553;1;1;Ventanilla;Tradicional
ASI896;556;1;1;Ventanilla;Tradicional
B7Y849;426;1;1;Ventanilla;Tradicional
B7Y842;586;1;1;Ventanilla;Tradicional
B7Y840;564;1;1;Ventanilla;Tradicional
D7E721;611;1;1;Ventanilla;Tradicional
F4E727;575;1;1;Ventanilla;Tradicional
B7X882;488;1;1;Ventanilla;Tradicional
F4F897;322;1;0;Ventanilla;Tradicional
F4F897;587;1;0;Ventanilla;Tradicional
F4F897;660;1;1;Ventanilla;Tradicional
F4E741;458;1;0;Ventanilla;Tradicional
F4E741;469;1;1;Ventanilla;Tradicional
ASI734;584;1;1;Ventanilla;Tradicional
C9L920;542;1;1;Ventanilla;Tradicional
D7C796;578;1;1;Ventanilla;Tradicional
F2X798;556;1;1;Ventanilla;Tradicional
F4E817;599;1;1;Ventanilla;Tradicional
F3C909;580;1;1;Ventanilla;Tradicional
ASI897;557;1;1;Ventanilla;Tradicional
A6F928;593;1;1;Ventanilla;Tradicional
F1F919;574;1;1;Ventanilla;Tradicional
ASI751;536;1;1;Ventanilla;Tradicional
F5C712;540;1;1;Ventanilla;Tradicional
C0B810;603;1;1;Ventanilla;Tradicional
B7Y803;492;1;1;Ventanilla;Tradicional
D7D709;468;1;1;Ventanilla;Tradicional
B7Y804;443;1;1;Ventanilla;Tradicional
C0I843;569;1;1;Ventanilla;Tradicional
B7Y841;629;1;1;Ventanilla;Tradicional
B7Y801;600;1;1;Ventanilla;Tradicional
D0Y714;562;1;1;Ventanilla;Tradicional
ASI868;587;1;1;Ventanilla;Tradicional
F4E746;649;1;1;Ventanilla;Tradicional
ASI896;683;1;1;Ventanilla;Tradicional
B7Y849;557;1;1;Ventanilla;Tradicional
B7Y840;565;1;1;Ventanilla;Tradicional
D7E721;636;1;1;Ventanilla;Tradicional
F4E727;592;1;1;Ventanilla;Tradicional
B7X882;570;1;1;Ventanilla;Tradicional
F4F897;670;1;1;Ventanilla;Tradicional
F4F897;737;1;0;Ventanilla;Tradicional
F4E741;891;1;1;Ventanilla;Tradicional
ASI734;529;1;1;Ventanilla;Tradicional
C9L920;583;1;1;Ventanilla;Tradicional
D7C796;579;1;1;Ventanilla;Tradicional
F2X798;539;1;1;Ventanilla;Tradicional
F4E817;665;1;1;Ventanilla;Tradicional
F3C909;607;1;1;Ventanilla;Tradicional
ASI897;540;1;1;Ventanilla;Tradicional
A6F928;527;1;1;Ventanilla;Tradicional
ASI751;579;1;1;Ventanilla;Tradicional
B7Y848;691;1;1;Ventanilla;Tradicional
C0B810;559;1;1;Ventanilla;Tradicional
B7Y803;371;1;1;Ventanilla;Tradicional
F4F812;627;1;1;Ventanilla;Tradicional
F3C711;600;1;1;Ventanilla;Tradicional
B7Y804;415;1;1;Ventanilla;Tradicional
C0I843;577;1;1;Ventanilla;Tradicional
B7Y841;519;1;1;Ventanilla;Tradicional
B7Y801;618;1;1;Ventanilla;Tradicional
D0Y714;595;1;1;Ventanilla;Tradicional
ASI868;584;1;1;Ventanilla;Tradicional
F4E746;574;1;1;Ventanilla;Tradicional
ASI896;577;1;1;Ventanilla;Tradicional
B7Y849;465;1;1;Ventanilla;Tradicional
B7Y842;508;1;1;Ventanilla;Tradicional
B7Y840;514;1;1;Ventanilla;Tradicional
D7E721;596;1;1;Ventanilla;Tradicional
B7X882;532;1;1;Ventanilla;Tradicional
F4F897;533;1;0;Ventanilla;Tradicional
F4F897;616;1;1;Ventanilla;Tradicional
F4F897;453;1;0;Ventanilla;Tradicional
F4E741;950;1;1;Ventanilla;Tradicional
F4E741;345;1;0;Ventanilla;Tradicional
ASI734;596;1;1;Ventanilla;Tradicional
C9L920;513;1;1;Ventanilla;Tradicional
D7C796;643;1;1;Ventanilla;Tradicional
F2X798;556;1;1;Ventanilla;Tradicional
F4E817;647;1;1;Ventanilla;Tradicional
F3C909;562;1;1;Ventanilla;Tradicional
ASI897;622;1;1;Ventanilla;Tradicional
A6F928;608;1;1;Ventanilla;Tradicional
F1F919;632;1;1;Ventanilla;Tradicional
ASI751;527;1;1;Ventanilla;Tradicional
F5C712;587;1;1;Ventanilla;Tradicional
C0B810;588;1;1;Ventanilla;Tradicional
B7Y803;499;1;1;Ventanilla;Tradicional
F3C711;564;1;1;Ventanilla;Tradicional
D7D709;587;1;1;Ventanilla;Tradicional
B7Y804;634;1;1;Ventanilla;Tradicional
C0I843;583;1;1;Ventanilla;Tradicional
B7Y841;635;1;1;Ventanilla;Tradicional
B7Y801;601;1;1;Ventanilla;Tradicional
D0Y714;662;1;1;Ventanilla;Tradicional
C5Y845;102;1;1;Ventanilla;NULO
C5Y845;2;1;0;Ventanilla;NULO
ASI868;622;1;1;Ventanilla;Tradicional
F4E746;663;1;1;Ventanilla;Tradicional
ASI896;602;1;1;Ventanilla;Tradicional
B7Y849;770;1;1;Ventanilla;Tradicional
B7Y842;603;1;1;Ventanilla;Tradicional
B7Y840;615;1;1;Ventanilla;Tradicional
D7E721;528;1;1;Ventanilla;Tradicional
F4E727;539;1;1;Ventanilla;Tradicional
B7X882;567;1;1;Ventanilla;Tradicional
F4F897;420;1;0;Ventanilla;Tradicional
F4F897;484;1;1;Ventanilla;Tradicional
F4E741;392;1;0;Ventanilla;Tradicional
F4E741;386;1;1;Ventanilla;Tradicional
ASI734;536;1;1;Ventanilla;Tradicional
C9L920;530;1;1;Ventanilla;Tradicional
D7C796;601;1;1;Ventanilla;Tradicional
F2X798;549;1;1;Ventanilla;Tradicional
F4E817;644;1;1;Ventanilla;Tradicional
F3C909;614;1;1;Ventanilla;Tradicional
ASI897;623;1;1;Ventanilla;Tradicional
A6F928;595;1;1;Ventanilla;Tradicional
F1F919;775;1;1;Ventanilla;Tradicional
ASI751;647;1;1;Ventanilla;Tradicional
F5C712;538;1;1;Ventanilla;Tradicional
C0B810;621;1;1;Ventanilla;Tradicional
B7Y803;553;1;1;Ventanilla;Tradicional
F4F812;537;1;1;Ventanilla;Tradicional
F4F812;414;1;0;Ventanilla;Tradicional
B7Y848;610;1;1;Ventanilla;Tradicional
F3C711;643;1;1;Ventanilla;Tradicional
D7D709;567;1;1;Ventanilla;Tradicional
B7Y804;530;1;1;Ventanilla;Tradicional
C0I843;516;1;1;Ventanilla;Tradicional
B7Y841;570;1;1;Ventanilla;Tradicional
B7Y801;606;1;1;Ventanilla;Tradicional
D0Y714;610;1;1;Ventanilla;Tradicional
C5Y845;50;1;1;Ventanilla;NULO
ASI868;562;1;1;Ventanilla;Tradicional
F4E746;566;1;1;Ventanilla;Tradicional
ASI896;493;1;1;Ventanilla;Tradicional
B7Y849;522;1;1;Ventanilla;Tradicional
B7Y842;567;1;1;Ventanilla;Tradicional
B7Y840;574;1;1;Ventanilla;Tradicional
D7E721;607;1;1;Ventanilla;Tradicional
F4E727;629;1;1;Ventanilla;Tradicional
B7X882;530;1;1;Ventanilla;Tradicional
F4F897;466;1;0;Ventanilla;Tradicional
F4F897;425;1;0;Ventanilla;Tradicional
F4F897;562;1;1;Ventanilla;Tradicional
F4E741;583;1;0;Ventanilla;Tradicional
F4E741;491;1;1;Ventanilla;Tradicional
ASI734;546;1;1;Ventanilla;Tradicional
C9L920;541;1;1;Ventanilla;Tradicional
F4F812;572;1;1;Ventanilla;Tradicional
F2X798;589;1;1;Ventanilla;Tradicional
F4E817;607;1;1;Ventanilla;Tradicional
F3C909;584;1;1;Ventanilla;Tradicional
ASI897;588;1;1;Ventanilla;Tradicional
A6F928;652;1;1;Ventanilla;Tradicional
F1F919;615;1;1;Ventanilla;Tradicional
ASI751;566;1;1;Ventanilla;Tradicional
F5C712;487;1;1;Ventanilla;Tradicional
B7Y848;602;1;1;Ventanilla;Tradicional
B7Y803;515;1;1;Ventanilla;Tradicional
F3C711;613;1;1;Ventanilla;Tradicional
B7Y804;525;1;1;Ventanilla;Tradicional
C0I843;581;1;1;Ventanilla;Tradicional
B7Y841;645;1;1;Ventanilla;Tradicional
B7Y801;612;1;1;Ventanilla;Tradicional
D0Y714;633;1;1;Ventanilla;Tradicional
ASI868;608;1;1;Ventanilla;Tradicional
F4E746;589;1;1;Ventanilla;Tradicional
ASI896;629;1;1;Ventanilla;Tradicional
B7Y849;583;1;1;Ventanilla;Tradicional
B7Y842;594;1;1;Ventanilla;Tradicional
B7Y840;630;1;1;Ventanilla;Tradicional
D7E721;570;1;1;Ventanilla;Tradicional
F4E727;561;1;1;Ventanilla;Tradicional
B7X882;610;1;1;Ventanilla;Tradicional
F4F897;575;1;0;Ventanilla;Tradicional
F4F897;478;1;0;Ventanilla;Tradicional
F4F897;636;1;1;Ventanilla;Tradicional
F4E741;547;1;0;Ventanilla;Tradicional
F4E741;431;1;0;Ventanilla;Tradicional
F4E741;600;1;1;Ventanilla;Tradicional
ASI734;552;1;1;Ventanilla;Tradicional
C9L920;563;1;1;Ventanilla;Tradicional
F4F812;566;1;1;Ventanilla;Tradicional
F2X798;634;1;1;Ventanilla;Tradicional
F4E817;597;1;1;Ventanilla;Tradicional
F3C909;642;1;1;Ventanilla;Tradicional
ASI897;623;1;1;Ventanilla;Tradicional
A6F928;628;1;1;Ventanilla;Tradicional
F1F919;572;1;1;Ventanilla;Tradicional
ASI751;581;1;1;Ventanilla;Tradicional
F5C712;428;1;1;Ventanilla;Tradicional
B7Y848;568;1;1;Ventanilla;Tradicional
B7Y803;567;1;1;Ventanilla;Tradicional
B7Y804;970;1;1;Ventanilla;Tradicional
B7Y804;770;1;0;Ventanilla;Tradicional
F3C711;726;1;1;Ventanilla;Tradicional
D7D709;609;1;1;Ventanilla;Tradicional
C0I843;533;1;1;Ventanilla;Tradicional
B7Y841;500;1;1;Ventanilla;Tradicional
B7Y801;643;1;1;Ventanilla;Tradicional
D0Y714;650;1;1;Ventanilla;Tradicional
ASI868;644;1;1;Ventanilla;Tradicional
F4E746;626;1;1;Ventanilla;Tradicional
ASI896;574;1;1;Ventanilla;Tradicional
B7Y849;476;1;1;Ventanilla;Tradicional
B7Y842;634;1;1;Ventanilla;Tradicional
B7Y840;498;1;1;Ventanilla;Tradicional
D7E721;667;1;1;Ventanilla;Tradicional
F4E727;655;1;1;Ventanilla;Tradicional
B7X882;525;1;1;Ventanilla;Tradicional
F4F897;510;1;1;Ventanilla;Tradicional
F4E741;362;1;1;Ventanilla;Tradicional
ASI734;601;1;1;Ventanilla;Tradicional
C9L920;602;1;1;Ventanilla;Tradicional
D7C796;650;1;1;Ventanilla;Tradicional
F2X798;607;1;1;Ventanilla;Tradicional
F4E817;614;1;1;Ventanilla;Tradicional
F3C909;632;1;1;Ventanilla;Tradicional
ASI897;565;1;1;Ventanilla;Tradicional
A6F928;614;1;1;Ventanilla;Tradicional
F1F919;583;1;1;Ventanilla;Tradicional
ASI751;531;1;1;Ventanilla;Tradicional
F5C712;831;1;1;Ventanilla;Tradicional
C0B810;649;1;1;Ventanilla;Tradicional
B7Y803;468;1;1;Ventanilla;Tradicional
F3C711;586;1;1;Ventanilla;Tradicional
D7D709;469;1;0;Ventanilla;Tradicional
D7D709;703;1;1;Ventanilla;Tradicional
B7Y804;489;1;1;Ventanilla;Tradicional
C0I843;616;1;1;Ventanilla;Tradicional
B7Y841;674;1;1;Ventanilla;Tradicional
B7Y801;642;1;1;Ventanilla;Tradicional
D0Y714;626;1;1;Ventanilla;Tradicional
ASI868;658;1;1;Ventanilla;Tradicional
F4E746;666;1;1;Ventanilla;Tradicional
ASI896;533;1;1;Ventanilla;Tradicional
B7Y849;494;1;1;Ventanilla;Tradicional
B7Y842;489;1;1;Ventanilla;Tradicional
B7Y840;572;1;1;Ventanilla;Tradicional
D7E721;593;1;1;Ventanilla;Tradicional
F4E727;611;1;1;Ventanilla;Tradicional
B7X882;530;1;1;Ventanilla;Tradicional
F4F897;692;1;1;Ventanilla;Tradicional
F4F897;539;1;0;Ventanilla;Tradicional
F4E741;478;1;0;Ventanilla;Tradicional
F4E741;494;1;1;Ventanilla;Tradicional
ASI734;557;1;1;Ventanilla;Tradicional
C9L920;639;1;1;Ventanilla;Tradicional
D7C796;618;1;1;Ventanilla;Tradicional
F2X798;574;1;1;Ventanilla;Tradicional
F4E817;582;1;1;Ventanilla;Tradicional
F3C909;611;1;1;Ventanilla;Tradicional
ASI897;566;1;1;Ventanilla;Tradicional
A6F928;564;1;1;Ventanilla;Tradicional
F1F919;407;1;1;Ventanilla;Tradicional
ASI751;585;1;1;Ventanilla;Tradicional
F5C712;595;1;1;Ventanilla;Tradicional
C0B810;567;1;1;Ventanilla;Tradicional
B7Y803;460;1;1;Ventanilla;Tradicional
F3C711;717;1;1;Ventanilla;Tradicional
C0I843;588;1;1;Ventanilla;Tradicional
B7Y841;586;1;1;Ventanilla;Tradicional
B7Y801;614;1;1;Ventanilla;Tradicional
D0Y714;620;1;1;Ventanilla;Tradicional
ASI868;606;1;1;Ventanilla;Tradicional
F4E746;576;1;1;Ventanilla;Tradicional
ASI896;572;1;1;Ventanilla;Tradicional
B7Y849;450;1;1;Ventanilla;Tradicional
B7Y842;559;1;1;Ventanilla;Tradicional
B7Y840;505;1;1;Ventanilla;Tradicional
D7E721;607;1;1;Ventanilla;Tradicional
F4E727;597;1;1;Ventanilla;Tradicional
F4F897;430;1;0;Ventanilla;Tradicional
F4F897;404;1;0;Ventanilla;Tradicional
F4F897;514;1;1;Ventanilla;Tradicional
F4E741;419;1;1;Ventanilla;Tradicional
F4E741;400;1;0;Ventanilla;Tradicional
ASI734;655;1;1;Ventanilla;Tradicional
C9L920;552;1;1;Ventanilla;Tradicional
D7C796;679;1;1;Ventanilla;Tradicional
F2X798;488;1;1;Ventanilla;Tradicional
F4E817;641;1;1;Ventanilla;Tradicional
F3C909;596;1;1;Ventanilla;Tradicional
ASI897;579;1;1;Ventanilla;Tradicional
A6F928;636;1;1;Ventanilla;Tradicional
F1F919;638;1;1;Ventanilla;Tradicional
ASI751;493;1;1;Ventanilla;Tradicional
F5C712;514;1;1;Ventanilla;Tradicional
C0B810;557;1;1;Ventanilla;Tradicional
B7Y803;573;1;1;Ventanilla;Tradicional
B7X882;434;1;1;Ventanilla;Tradicional
F3C711;471;1;1;Ventanilla;Tradicional
D7D709;591;1;1;Ventanilla;Tradicional
B7Y804;520;1;1;Ventanilla;Tradicional
C0I843;601;1;1;Ventanilla;Tradicional
B7Y841;654;1;1;Ventanilla;Tradicional
B7Y801;662;1;1;Ventanilla;Tradicional
ASI868;603;1;1;Ventanilla;Tradicional
F4E746;680;1;1;Ventanilla;Tradicional
ASI896;639;1;1;Ventanilla;Tradicional
B7Y849;572;1;1;Ventanilla;Tradicional
B7Y842;537;1;1;Ventanilla;Tradicional
B7Y840;619;1;1;Ventanilla;Tradicional
D7E721;646;1;1;Ventanilla;Tradicional
F4E727;642;1;1;Ventanilla;Tradicional
F4F897;398;1;1;Ventanilla;Tradicional
F4F897;394;1;0;Ventanilla;Tradicional
ASI734;542;1;1;Ventanilla;Tradicional
C9L920;570;1;1;Ventanilla;Tradicional
F4F812;646;1;1;Ventanilla;Tradicional
F2X798;638;1;1;Ventanilla;Tradicional
F4E817;695;1;1;Ventanilla;Tradicional
F3C909;656;1;1;Ventanilla;Tradicional
ASI897;629;1;1;Ventanilla;Tradicional
A6F928;638;1;1;Ventanilla;Tradicional
F1F919;505;1;1;Ventanilla;Tradicional
ASI751;591;1;1;Ventanilla;Tradicional
F5C712;642;1;1;Ventanilla;Tradicional
B7Y803;550;1;1;Ventanilla;Tradicional
B7Y848;454;1;1;Ventanilla;Tradicional
B7Y848;365;1;0;Ventanilla;Tradicional
F3C711;661;1;1;Ventanilla;Tradicional
D7D709;683;1;1;Ventanilla;Tradicional
B7Y804;554;1;1;Ventanilla;Tradicional
C0I843;618;1;1;Ventanilla;Tradicional
B7Y841;586;1;1;Ventanilla;Tradicional
B7Y801;606;1;1;Ventanilla;Tradicional
D0Y714;628;1;1;Ventanilla;Tradicional
ASI868;630;1;1;Ventanilla;Tradicional
F4E746;620;1;1;Ventanilla;Tradicional
ASI896;476;1;1;Ventanilla;Tradicional
B7Y849;520;1;1;Ventanilla;Tradicional
B7Y842;567;1;1;Ventanilla;Tradicional
B7Y840;611;1;1;Ventanilla;Tradicional
D7E721;659;1;1;Ventanilla;Tradicional
F4E727;605;1;1;Ventanilla;Tradicional
B7X882;565;1;1;Ventanilla;Tradicional
F4F897;515;1;0;Ventanilla;Tradicional
F4F897;500;1;0;Ventanilla;Tradicional
F4F897;763;1;1;Ventanilla;Tradicional
F4E741;587;1;0;Ventanilla;Tradicional
F4E741;575;1;1;Ventanilla;Tradicional
F4E741;433;1;0;Ventanilla;Tradicional
ASI734;594;1;1;Ventanilla;Tradicional
C9L920;553;1;1;Ventanilla;Tradicional
F4F812;564;1;1;Ventanilla;Tradicional
F2X798;585;1;1;Ventanilla;Tradicional
F4E817;563;1;1;Ventanilla;Tradicional
F3C909;601;1;1;Ventanilla;Tradicional
ASI897;630;1;1;Ventanilla;Tradicional
A6F928;691;1;1;Ventanilla;Tradicional
F1F919;609;1;1;Ventanilla;Tradicional
ASI751;577;1;1;Ventanilla;Tradicional
F5C712;466;1;1;Ventanilla;Tradicional
B7Y803;461;1;1;Ventanilla;Tradicional
B7Y848;533;1;0;Ventanilla;Tradicional
B7Y848;598;1;1;Ventanilla;Tradicional
F3C711;538;1;1;Ventanilla;Tradicional
D7D709;558;1;1;Ventanilla;Tradicional
B7Y804;456;1;1;Ventanilla;Tradicional
B7Y841;597;1;1;Ventanilla;Tradicional
B7Y801;625;1;1;Ventanilla;Tradicional
D0Y714;701;1;1;Ventanilla;Tradicional
ASI868;617;1;1;Ventanilla;Tradicional
F4E746;586;1;1;Ventanilla;Tradicional
ASI896;571;1;1;Ventanilla;Tradicional
B7Y849;602;1;1;Ventanilla;Tradicional
B7Y842;555;1;1;Ventanilla;Tradicional
B7Y840;666;1;1;Ventanilla;Tradicional
D7E721;610;1;1;Ventanilla;Tradicional
B7X882;573;1;1;Ventanilla;Tradicional
F4F897;615;1;1;Ventanilla;Tradicional
F4F897;598;1;0;Ventanilla;Tradicional
F4E741;443;1;0;Ventanilla;Tradicional
F4E741;508;1;1;Ventanilla;Tradicional
ASI734;483;1;1;Ventanilla;Tradicional
C9L920;452;1;1;Ventanilla;Tradicional
F4F812;642;1;1;Ventanilla;Tradicional
F2X798;650;1;1;Ventanilla;Tradicional
F4E817;657;1;1;Ventanilla;Tradicional
F3C909;617;1;1;Ventanilla;Tradicional
ASI897;647;1;1;Ventanilla;Tradicional
A6F928;578;1;1;Ventanilla;Tradicional
F1F919;505;1;1;Ventanilla;Tradicional
ASI751;667;1;1;Ventanilla;Tradicional
F5C712;568;1;1;Ventanilla;Tradicional
C0B810;611;1;1;Ventanilla;Tradicional
B7Y803;598;1;1;Ventanilla;Tradicional
B7Y848;734;1;1;Ventanilla;Tradicional
F3C711;508;1;1;Ventanilla;Tradicional
B7Y804;482;1;1;Ventanilla;Tradicional
C0I843;578;1;1;Ventanilla;Tradicional
B7Y801;660;1;1;Ventanilla;Tradicional
D0Y714;667;1;1;Ventanilla;Tradicional
C5Y845;30;1;1;Ventanilla;NULO
C5Y845;2;1;0;Ventanilla;NULO
B7Y848;578;1;1;Ventanilla;Tradicional
F4E746;679;1;1;Ventanilla;Tradicional
ASI896;486;1;1;Ventanilla;Tradicional
B7Y849;427;1;1;Ventanilla;Tradicional
B7Y842;533;1;1;Ventanilla;Tradicional
B7Y840;534;1;1;Ventanilla;Tradicional
D7E721;635;1;1;Ventanilla;Tradicional
F4E727;546;1;1;Ventanilla;Tradicional
B7X882;514;1;1;Ventanilla;Tradicional
F4F897;705;1;1;Ventanilla;Tradicional
F4F897;437;1;0;Ventanilla;Tradicional
F4E741;650;1;1;Ventanilla;Tradicional
ASI734;602;1;1;Ventanilla;Tradicional
C9L920;537;1;1;Ventanilla;Tradicional
F4F812;525;1;1;Ventanilla;Tradicional
F2X798;609;1;1;Ventanilla;Tradicional
F3C909;627;1;1;Ventanilla;Tradicional
ASI897;575;1;1;Ventanilla;Tradicional
A6F928;599;1;1;Ventanilla;Tradicional
F1F919;544;1;1;Ventanilla;Tradicional
ASI751;478;1;1;Ventanilla;Tradicional
F5C712;608;1;1;Ventanilla;Tradicional
C0B810;543;1;1;Ventanilla;Tradicional
B7Y803;462;1;1;Ventanilla;Tradicional
F3C711;509;1;1;Ventanilla;Tradicional
D7D709;651;1;1;Ventanilla;Tradicional
B7Y804;469;1;1;Ventanilla;Tradicional
C0I843;594;1;1;Ventanilla;Tradicional
B7Y841;674;1;1;Ventanilla;Tradicional
B7Y801;571;1;1;Ventanilla;Tradicional
D0Y714;628;1;1;Ventanilla;Tradicional
ASI868;594;1;1;Ventanilla;Tradicional
F4E746;626;1;1;Ventanilla;Tradicional
ASI896;597;1;1;Ventanilla;Tradicional
B7Y849;548;1;1;Ventanilla;Tradicional
B7Y840;605;1;1;Ventanilla;Tradicional
D7E721;633;1;1;Ventanilla;Tradicional
F4E727;585;1;1;Ventanilla;Tradicional
B7X882;518;1;1;Ventanilla;Tradicional
F4F897;560;1;1;Ventanilla;Tradicional
F4F897;480;1;0;Ventanilla;Tradicional
F4E741;397;1;1;Ventanilla;Tradicional
F4E741;438;1;0;Ventanilla;Tradicional
B7Y848;428;1;1;Ventanilla;Tradicional
ASI734;559;1;1;Ventanilla;Tradicional
C9L920;657;1;1;Ventanilla;Tradicional
F4F812;603;1;1;Ventanilla;Tradicional
F2X798;628;1;1;Ventanilla;Tradicional
F4E817;714;1;1;Ventanilla;Tradicional
F3C909;618;1;1;Ventanilla;Tradicional
ASI897;522;1;1;Ventanilla;Tradicional
A6F928;497;1;1;Ventanilla;Tradicional
F1F919;429;1;1;Ventanilla;Tradicional
ASI751;524;1;1;Ventanilla;Tradicional
C0B810;551;1;1;Ventanilla;Tradicional
B7Y803;440;1;1;Ventanilla;Tradicional
B7Y804;702;1;1;Ventanilla;Tradicional
F3C711;545;1;1;Ventanilla;Tradicional
D7D709;411;1;0;Ventanilla;Tradicional
D7D709;540;1;1;Ventanilla;Tradicional
B7Y841;535;1;1;Ventanilla;Tradicional
B7Y801;633;1;1;Ventanilla;Tradicional
D0Y714;609;1;1;Ventanilla;Tradicional
C5Y845;1;1;1;Ventanilla;NULO
ASI868;623;1;1;Ventanilla;Tradicional
F4E746;528;1;1;Ventanilla;Tradicional
ASI896;506;1;1;Ventanilla;Tradicional
B7Y849;384;1;1;Ventanilla;Tradicional
B7Y842;464;1;1;Ventanilla;Tradicional
B7Y840;514;1;1;Ventanilla;Tradicional
D7E721;531;1;1;Ventanilla;Tradicional
F4E727;538;1;1;Ventanilla;Tradicional
B7X882;542;1;1;Ventanilla;Tradicional
F4F897;375;1;0;Ventanilla;Tradicional
F4F897;438;1;1;Ventanilla;Tradicional
F4F897;484;1;0;Ventanilla;Tradicional
F4E741;481;1;0;Ventanilla;Tradicional
F4E741;410;1;1;Ventanilla;Tradicional
B7Y848;543;1;1;Ventanilla;Tradicional
ASI734;555;1;1;Ventanilla;Tradicional
C9L920;482;1;1;Ventanilla;Tradicional
F4F812;573;1;1;Ventanilla;Tradicional
F2X798;528;1;1;Ventanilla;Tradicional
F4E817;579;1;1;Ventanilla;Tradicional
F3C909;660;1;1;Ventanilla;Tradicional
ASI897;590;1;1;Ventanilla;Tradicional
A6F928;536;1;1;Ventanilla;Tradicional
F1F919;615;1;1;Ventanilla;Tradicional
ASI751;415;1;1;Ventanilla;Tradicional
F5C712;455;1;1;Ventanilla;Tradicional
C0B810;470;1;1;Ventanilla;Tradicional
B7Y803;455;1;1;Ventanilla;Tradicional
F3C711;481;1;1;Ventanilla;Tradicional
B7Y804;425;1;1;Ventanilla;Tradicional
B7Y841;691;1;1;Ventanilla;Tradicional
B7Y801;605;1;1;Ventanilla;Tradicional
D0Y714;626;1;1;Ventanilla;Tradicional
C5Y845;2;1;1;Ventanilla;NULO
ASI868;588;1;1;Ventanilla;Tradicional
F4E746;627;1;1;Ventanilla;Tradicional
ASI896;589;1;1;Ventanilla;Tradicional
B7Y849;545;1;1;Ventanilla;Tradicional
B7Y840;544;1;1;Ventanilla;Tradicional
D7E721;475;1;1;Ventanilla;Tradicional
F4E727;579;1;1;Ventanilla;Tradicional
B7X882;508;1;1;Ventanilla;Tradicional
F4E741;595;1;1;Ventanilla;Tradicional
F4E741;490;1;0;Ventanilla;Tradicional
B7Y848;704;1;1;Ventanilla;Tradicional
ASI734;518;1;1;Ventanilla;Tradicional
C9L920;608;1;1;Ventanilla;Tradicional
F4F812;499;1;1;Ventanilla;Tradicional
F2X798;562;1;1;Ventanilla;Tradicional
F4E817;610;1;1;Ventanilla;Tradicional
ASI897;610;1;1;Ventanilla;Tradicional
A6F928;582;1;1;Ventanilla;Tradicional
F1F919;424;1;1;Ventanilla;Tradicional
ASI751;543;1;1;Ventanilla;Tradicional
F5C712;416;1;1;Ventanilla;Tradicional
C0B810;583;1;1;Ventanilla;Tradicional
B7Y803;495;1;1;Ventanilla;Tradicional
B7Y842;379;1;0;Ventanilla;Tradicional
B7Y842;512;1;1;Ventanilla;Tradicional
F3C711;559;1;1;Ventanilla;Tradicional
C0I843;629;1;1;Ventanilla;Tradicional
B7Y841;544;1;1;Ventanilla;Tradicional
B7Y801;621;1;1;Ventanilla;Tradicional
D0Y714;640;1;1;Ventanilla;Tradicional
B7Y804;485;1;1;Ventanilla;Tradicional
ASI868;661;1;1;Ventanilla;Tradicional
F4E746;583;1;1;Ventanilla;Tradicional
ASI896;423;1;1;Ventanilla;Tradicional
B7Y849;522;1;1;Ventanilla;Tradicional
B7Y842;448;1;1;Ventanilla;Tradicional
B7Y840;588;1;1;Ventanilla;Tradicional
D7E721;554;1;1;Ventanilla;Tradicional
F4E727;663;1;1;Ventanilla;Tradicional
B7X882;540;1;1;Ventanilla;Tradicional
F4F897;422;1;0;Ventanilla;Tradicional
F4F897;321;1;0;Ventanilla;Tradicional
F4F897;490;1;1;Ventanilla;Tradicional
F4E741;411;1;0;Ventanilla;Tradicional
F4E741;476;1;1;Ventanilla;Tradicional
ASI734;541;1;1;Ventanilla;Tradicional
C9L920;478;1;1;Ventanilla;Tradicional
F4F812;512;1;1;Ventanilla;Tradicional
F2X798;560;1;1;Ventanilla;Tradicional
F4E817;584;1;1;Ventanilla;Tradicional
F3C909;576;1;1;Ventanilla;Tradicional
ASI897;641;1;1;Ventanilla;Tradicional
A6F928;608;1;1;Ventanilla;Tradicional
F1F919;566;1;1;Ventanilla;Tradicional
ASI751;395;1;1;Ventanilla;Tradicional
C0B810;543;1;1;Ventanilla;Tradicional
B7Y803;472;1;1;Ventanilla;Tradicional
B7Y848;500;1;1;Ventanilla;Tradicional
B7Y848;388;1;0;Ventanilla;Tradicional
F3C711;589;1;1;Ventanilla;Tradicional
B7Y841;525;1;1;Ventanilla;Tradicional
B7Y801;667;1;1;Ventanilla;Tradicional
D0Y714;676;1;1;Ventanilla;Tradicional
C5Y845;1;1;1;Ventanilla;NULO
ASI868;632;1;1;Ventanilla;Tradicional
F4E746;579;1;1;Ventanilla;Tradicional
ASI896;434;1;1;Ventanilla;Tradicional
B7Y849;568;1;1;Ventanilla;Tradicional
B7Y842;475;1;1;Ventanilla;Tradicional
B7Y840;608;1;1;Ventanilla;Tradicional
D7E721;498;1;1;Ventanilla;Tradicional
F4E727;516;1;1;Ventanilla;Tradicional
B7X882;459;1;1;Ventanilla;Tradicional
F4F897;838;1;1;Ventanilla;Tradicional
F4F897;671;1;0;Ventanilla;Tradicional
B7Y848;456;1;1;Ventanilla;Tradicional
ASI734;441;1;1;Ventanilla;Tradicional
C9L920;456;1;1;Ventanilla;Tradicional
F4F812;495;1;1;Ventanilla;Tradicional
